"Bay","N_fish","Year"
"Hope",145,2010
"Hope",219,2011
"Hope",319,2012
"Hope",446,2013
"Hope",586,2014
"Hope",719,2015
"Hope",820,2016
"Hope",883,2017
"Hope",915,2018
"Hope",930,2019
"Hope",936,2020
"Hope",938,2021
"Hope",939,2022
"Hope",940,2023
"Hope",940,2024
"Sulzberger",5,2010
"Sulzberger",7,2011
"Sulzberger",11,2012
"Sulzberger",17,2013
"Sulzberger",25,2014
"Sulzberger",37,2015
"Sulzberger",55,2016
"Sulzberger",82,2017
"Sulzberger",123,2018
"Sulzberger",183,2019
"Sulzberger",273,2020
"Sulzberger",407,2021
"Sulzberger",608,2022
"Sulzberger",906,2023
"Sulzberger",1352,2024
